Linux 5.4.0-58-generic (Elliot) 	26/12/20 	_x86_64_	(2 CPU)

18:48:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:51:06        all      6,97      1,99      1,99      0,00      0,00     89,05
18:51:07        all      7,46      1,49      1,00      0,00      0,00     90,05
18:51:08        all      8,16      2,55      0,51      0,00      0,00     88,78
18:51:09        all     11,50      1,50      0,50      0,00      0,00     86,50
18:51:10        all     55,45     27,72      0,99      1,98      0,00     13,86
18:51:11        all      7,11      2,54      1,02      0,00      0,00     89,34
18:51:12        all      8,08      1,52      1,01      0,00      0,00     89,39
18:51:13        all      9,41      1,98      0,99      0,00      0,00     87,62
18:51:14        all      7,58      2,02      1,01      0,00      0,00     89,39
18:51:15        all      9,05      1,51      0,50      0,00      0,00     88,94
18:51:16        all      9,90      2,48      1,49      1,98      0,00     84,16
18:51:17        all      7,04      2,01      1,01      0,00      0,00     89,95
18:51:18        all      9,05      1,51      0,50      0,00      0,00     88,94
18:51:19        all      9,50      2,00      1,00      0,00      0,00     87,50
18:51:20        all      7,96      1,99      1,49      0,00      0,00     88,56
18:51:21        all      6,97      1,99      1,00      2,49      0,00     87,56
18:51:22        all     41,79     19,90      0,00      0,00      0,00     38,31
18:51:23        all     36,68      9,55      3,52      0,00      0,00     50,25
18:51:24        all     65,00     26,50      3,50      0,00      0,00      5,00
18:51:25        all     63,00     29,50      1,00      0,00      0,00      6,50
18:51:26        all     61,93     31,98      1,02      0,00      0,00      5,08
18:51:27        all     61,62     30,81      1,52      0,00      0,00      6,06
18:51:28        all     60,61     31,31      1,52      0,00      0,00      6,57
18:51:29        all     64,80     30,61      1,02      0,00      0,00      3,57
18:51:30        all     56,28     35,18      0,00      0,00      0,00      8,54
18:51:31        all      8,59      1,52      0,51      2,02      0,00     87,37
18:51:32        all      8,59      1,52      1,52      0,00      0,00     88,38
18:51:33        all      6,06      2,53      2,02      0,00      0,00     89,39
18:51:34        all      8,00      1,50      1,50      0,00      0,00     89,00
18:51:35        all      8,54      2,01      0,00      0,00      0,00     89,45
18:51:36        all      8,59      1,52      0,00      2,02      0,00     87,88
18:51:37        all      7,58      2,02      1,01      0,00      0,00     89,39
18:51:38        all      7,58      2,02      1,01      0,00      0,00     89,39
18:51:39        all     19,50      7,00      1,50      0,00      0,00     72,00
18:51:40        all     20,10      7,54      1,01      0,00      0,00     71,36
18:51:41        all      8,00      2,00      0,50      2,00      0,00     87,50
18:51:42        all      7,54      1,51      1,01      0,00      0,00     89,95
18:51:43        all      7,88      1,48      1,48      0,00      0,00     89,16
18:51:44        all      9,05      2,01      1,51      0,00      0,00     87,44
18:51:45        all      8,63      1,52      0,51      0,00      0,00     89,34
18:51:46        all     53,23     29,85      1,00      2,49      0,00     13,43
18:51:47        all      8,59      2,02      1,01      0,00      0,00     88,38
18:51:48        all      6,90      1,48      1,97      0,00      0,00     89,66
18:51:49        all      8,59      1,52      1,01      0,51      0,00     88,38
18:51:50        all      9,41      1,98      0,99      0,00      0,00     87,62
18:51:51        all      8,08      2,02      0,51      2,53      0,00     86,87
18:51:52        all      7,04      1,51      1,01      0,00      0,00     90,45
18:51:53        all      7,50      2,00      1,00      0,00      0,00     89,50
18:51:54        all      7,65      1,02      1,53      2,55      0,00     87,24
18:51:55        all      9,55      2,01      0,50      0,00      0,00     87,94
18:51:56        all      8,12      2,03      1,02      2,03      0,00     86,80
18:51:57        all      9,00      1,50      2,00      0,00      0,00     87,50
18:51:58        all     27,64     16,08      1,01      0,00      0,00     55,28
18:51:59        all      7,58      1,01      0,51      0,00      0,00     90,91
18:52:00        all      5,64      0,51      1,03      0,00      0,00     92,82
18:52:01        all      6,06      1,52      0,00      0,00      0,00     92,42
18:52:02        all      8,00      1,00      0,50      2,00      0,00     88,50
18:52:03        all      6,47      1,00      1,99      0,00      0,00     90,55
18:52:04        all     38,81     10,95      0,50      0,00      0,00     49,75
18:52:05        all     30,46     12,18      1,02      0,00      0,00     56,35
18:52:06        all      9,00      1,50      0,50      0,00      0,00     89,00
18:52:07        all      8,00      1,50      1,00      2,50      0,00     87,00
18:52:08        all      7,54      1,51      1,01      0,00      0,00     89,95
18:52:09        all      9,00      1,00      2,00      0,00      0,00     88,00
18:52:10        all      8,54      1,51      2,01      0,00      0,00     87,94
18:52:11        all      7,58      1,52      1,01      0,00      0,00     89,90
18:52:12        all      8,42      1,98      0,50      2,48      0,00     86,63
18:52:13        all      6,03      1,51      1,01      0,50      0,00     90,95
18:52:14        all      7,04      2,01      1,01      0,00      0,00     89,95
18:52:15        all      6,53      1,01      2,01      0,00      0,00     90,45
18:52:16        all     19,80      7,61      0,00      0,00      0,00     72,59
18:52:17        all     17,17      4,55      1,52      0,00      0,00     76,77
18:52:18        all      6,06      1,01      1,01      2,02      0,00     89,90
18:52:19        all      7,54      1,51      0,50      0,00      0,00     90,45
18:52:20        all      7,46      0,50      1,49      0,00      0,00     90,55
18:52:21        all      6,12      0,51      1,02      0,00      0,00     92,35
18:52:22        all      6,57      0,51      1,01      0,00      0,00     91,92
18:52:23        all      6,40      1,97      1,48      2,46      0,00     87,68
18:52:24        all      8,50      0,00      1,50      0,00      0,00     90,00
18:52:25        all      6,53      1,51      1,01      0,00      0,00     90,95
18:52:26        all      8,63      0,51      0,00      0,00      0,00     90,86
18:52:27        all      8,04      1,01      1,01      0,00      0,00     89,95
18:52:28        all      9,36      1,48      2,46      1,97      0,00     84,73
18:52:29        all      9,09      0,51      0,51      0,00      0,00     89,90
18:52:30        all      8,59      1,01      1,01      0,00      0,00     89,39
18:52:31        all      7,50      1,00      1,50      0,50      0,00     89,50
18:52:32        all      7,50      1,00      2,00      0,00      0,00     89,50
18:52:33        all      6,57      1,01      1,52      0,00      0,00     90,91
18:52:34        all      6,57      1,52      0,51      1,52      0,00     89,90
18:52:35        all      6,60      1,52      1,02      0,00      0,00     90,86
18:52:36        all      7,00      1,00      1,00      0,00      0,00     91,00
18:52:37        all      6,60      1,52      1,02      0,00      0,00     90,86
18:52:38        all      8,59      1,52      0,51      0,00      0,00     89,39
18:52:39        all      7,54      1,01      2,01      0,00      0,00     89,45
18:52:40        all      6,15      1,03      0,51      2,05      0,00     90,26
18:52:41        all     29,00      8,00      0,00      0,00      0,00     63,00
18:52:42        all     12,44      2,49      1,00      0,00      0,00     84,08
18:52:43        all      7,00      1,50      1,00      0,00      0,00     90,50
18:52:44        all     22,50      6,50      3,00      0,00      0,00     68,00
18:52:45        all     63,37     25,25      2,97      0,00      0,00      8,42
18:52:46        all     60,71     33,16      0,00      0,00      0,00      6,12
18:52:47        all     61,62     28,79      1,01      0,00      0,00      8,59
18:52:48        all     64,65     24,75      1,52      0,51      0,00      8,59
18:52:49        all     66,15     21,03      2,05      0,00      0,00     10,77
18:52:50        all     61,42     30,96      1,52      0,00      0,00      6,09
18:52:51        all     37,88     19,70      0,51      0,00      0,00     41,92
18:52:52        all      8,08      1,01      1,01      0,00      0,00     89,90
18:52:53        all      7,07      1,01      0,51      0,00      0,00     91,41
18:52:54        all      7,00      1,50      1,00      0,50      0,00     90,00
18:52:55        all      6,03      1,51      1,51      0,00      0,00     90,95
18:52:56        all      6,50      1,00      1,50      2,00      0,00     89,00
18:52:57        all      7,50      1,50      1,50      0,00      0,00     89,50
18:52:58        all      9,60      1,01      1,01      0,00      0,00     88,38
18:52:59        all      8,42      1,49      1,98      0,00      0,00     88,12
18:53:00        all      7,54      0,50      1,01      0,00      0,00     90,95
18:53:01        all      7,61      1,02      0,51      2,03      0,00     88,83
18:53:02        all      7,04      1,01      2,01      0,00      0,00     89,95
18:53:03        all      9,00      0,50      0,50      0,00      0,00     90,00
18:53:04        all     27,41     13,20      1,02      0,00      0,00     58,38
18:53:05        all      7,04      0,50      1,51      1,01      0,00     89,95
18:53:06        all      7,07      2,02      1,01      2,02      0,00     87,88
18:53:07        all      7,46      1,99      1,00      0,00      0,00     89,55
18:53:08        all      7,04      1,51      1,01      0,00      0,00     90,45
18:53:09        all      8,42      1,49      0,99      0,00      0,00     89,11
18:53:10        all     28,79     12,63      1,52      0,00      0,00     57,07
18:53:11        all     34,52     18,27      1,02      0,00      0,00     46,19
18:53:12        all      6,06      1,52      0,51      0,00      0,00     91,92
18:53:13        all      6,57      2,02      1,01      0,00      0,00     90,40
18:53:14        all      8,46      1,00      1,00      0,00      0,00     89,55
18:53:15        all      7,11      0,51      1,02      0,00      0,00     91,37
18:53:16        all     20,20      9,09      2,02      0,00      0,00     68,69
18:53:17        all     40,31     22,96      1,53      0,00      0,00     35,20
18:53:18        all      8,21      2,05      0,00      0,00      0,00     89,74
18:53:19        all      9,00      2,00      2,00      0,00      0,00     87,00
18:53:20        all      8,12      2,03      0,51      0,00      0,00     89,34
18:53:21        all     10,00      2,50      1,00      0,00      0,00     86,50
18:53:22        all      8,50      3,00      1,50      2,00      0,00     85,00
18:53:23        all      9,60      1,52      0,51      2,02      0,00     86,36
18:53:24        all      8,00      2,00      1,00      0,00      0,00     89,00
18:53:25        all      8,59      2,02      1,01      0,00      0,00     88,38
18:53:26        all     10,05      3,02      0,50      0,00      0,00     86,43
18:53:27        all      9,09      1,52      0,51      0,51      0,00     88,38
18:53:28        all      8,16      2,04      1,02      2,04      0,00     86,73
18:53:29        all      8,50      2,00      2,00      0,00      0,00     87,50
18:53:30        all     10,00      3,00      0,50      0,00      0,00     86,50
18:53:31        all      9,09      2,02      0,51      0,00      0,00     88,38
18:53:32        all      8,59      1,52      1,52      0,00      0,00     88,38
18:53:33        all      7,07      2,53      0,51      2,53      0,00     87,37
18:53:34        all      9,64      1,52      1,02      0,00      0,00     87,82
18:53:35        all      7,58      2,53      0,51      0,00      0,00     89,39
18:53:36        all      8,96      2,49      0,50      0,00      0,00     88,06
18:53:37        all      8,46      2,49      1,00      0,00      0,00     88,06
18:53:38        all      8,54      2,01      1,01      2,01      0,00     86,43
18:53:39        all     10,00      2,50      0,50      0,00      0,00     87,00
18:53:40        all      9,45      2,49      1,49      0,00      0,00     86,57
18:53:41        all      8,08      2,02      1,01      0,00      0,00     88,89
18:53:42        all      7,04      1,51      1,51      0,00      0,00     89,95
18:53:43        all      7,58      2,53      1,01      0,00      0,00     88,89
18:53:44        all      9,05      1,51      1,51      4,02      0,00     83,92
18:53:45        all      8,54      2,01      1,01      0,00      0,00     88,44
18:53:46        all      8,04      3,02      0,50      0,00      0,00     88,44
18:53:47        all      9,18      2,04      0,51      0,00      0,00     88,27
18:53:48        all      8,00      2,50      0,00      0,00      0,00     89,50
18:53:49        all      8,00      1,00      2,50      2,00      0,00     86,50
18:53:50        all      8,46      2,99      1,00      0,00      0,00     87,56
18:53:51        all      8,00      2,50      2,00      0,00      0,00     87,50
18:53:52        all      8,54      2,51      1,01      0,00      0,00     87,94
18:53:53        all     30,96     13,71      1,02      0,00      0,00     54,31
18:53:54        all      7,46      1,99      1,99      2,49      0,00     86,07
18:53:55        all      8,16      2,55      0,00      0,00      0,00     89,29
18:53:56        all      9,50      2,00      1,00      0,00      0,00     87,50
18:53:57        all      7,58      2,53      0,51      0,00      0,00     89,39
18:53:58        all      7,61      2,03      1,52      0,00      0,00     88,83
18:53:59        all     10,45      1,99      1,99      1,99      0,00     83,58
18:54:00        all      9,00      2,50      0,50      0,00      0,00     88,00
18:54:01        all      8,00      3,50      1,50      0,00      0,00     87,00
18:54:02        all      9,00      2,00      1,00      0,00      0,00     88,00
18:54:03        all      9,00      2,00      2,50      0,00      0,00     86,50
18:54:04        all     17,26      1,52      9,14      3,05      0,00     69,04
18:54:05        all     19,39      2,55      5,10      1,02      0,00     71,94
18:54:06        all      7,58      2,02      0,51      0,00      0,00     89,90
18:54:07        all      9,45      2,49      1,00      0,00      0,00     87,06
18:54:08        all      8,16      2,55      2,55      0,00      0,00     86,73
18:54:09        all      9,18      3,06      0,51      1,53      0,00     85,71
18:54:10        all      8,82      2,45      1,47      0,49      0,00     86,76
18:54:11        all     35,03     19,80      1,52      0,00      0,00     43,65
18:54:12        all     26,63     15,58      2,01      0,00      0,00     55,78
18:54:13        all      7,96      2,99      1,00      0,00      0,00     88,06
18:54:14        all      9,18      1,53      1,02      1,02      0,00     87,24
18:54:15        all     30,15     15,08      1,51      0,00      0,00     53,27
18:54:16        all      6,53      2,01      1,51      0,00      0,00     89,95
18:54:17        all     55,05     27,78      1,52      0,00      0,00     15,66
18:54:18        all     59,18     32,14      2,04      0,00      0,00      6,63
18:54:19        all     62,31     31,16      1,51      0,50      0,00      4,52
18:54:20        all     61,69     35,82      0,50      0,00      0,00      1,99
18:54:21        all     60,41     35,53      1,02      0,00      0,00      3,05
18:54:22        all     60,70     35,32      0,50      0,00      0,00      3,48
18:54:23        all     60,20     26,37      1,00      0,00      0,00     12,44
18:54:24        all     61,88     27,23      2,48      0,50      0,00      7,92
18:54:25        all     59,60     36,36      1,01      0,00      0,00      3,03
18:54:26        all     62,19     25,87      0,50      0,00      0,00     11,44
18:54:27        all     66,16     23,23      1,01      0,00      0,00      9,60
18:54:28        all     60,80     30,65      1,01      0,00      0,00      7,54
18:54:29        all     60,61     33,33      1,52      0,00      0,00      4,55
18:54:30        all     27,36     11,44      1,49      0,00      0,00     59,70
18:54:31        all      8,00      2,00      1,00      0,00      0,00     89,00
18:54:32        all      6,67      1,54      0,51      0,00      0,00     91,28
18:54:33        all      8,00      1,50      1,00      0,00      0,00     89,50
18:54:34        all      8,91      1,98      0,50      0,00      0,00     88,61
18:54:35        all      8,08      1,52      2,02      0,00      0,00     88,38
18:54:36        all      8,63      2,54      0,51      2,03      0,00     86,29
18:54:37        all      7,88      1,48      0,99      0,00      0,00     89,66
18:54:38        all      7,11      1,52      1,52      0,00      0,00     89,85
18:54:39        all      8,96      1,49      1,49      0,00      0,00     88,06
18:54:40        all      7,58      2,02      1,01      0,00      0,00     89,39
18:54:41        all     25,63     13,07      1,51      2,51      0,00     57,29
18:54:42        all     34,18     20,41      0,51      0,00      0,00     44,90
18:54:43        all      6,06      0,51      0,51      0,51      0,00     92,42
18:54:44        all      6,93      0,99      0,99      0,00      0,00     91,09
18:54:45        all      5,53      0,50      1,51      0,00      0,00     92,46
18:54:46        all      6,00      1,50      1,00      2,00      0,00     89,50
18:54:47        all      6,00      0,50      2,00      0,00      0,00     91,50
18:54:48        all      2,02      1,01      0,00      0,00      0,00     96,97
18:54:49        all      1,50      1,00      1,00      0,00      0,00     96,50
18:54:50        all      2,50      0,50      0,00      0,00      0,00     97,00
18:54:51        all      4,04      0,51      0,51      2,02      0,00     92,93
18:54:52        all      7,04      1,01      0,50      0,00      0,00     91,46
18:54:53        all      6,09      0,51      0,51      0,00      0,00     92,89
18:54:54        all      7,04      1,01      0,50      0,00      0,00     91,46
18:54:55        all      6,47      1,00      1,00      1,00      0,00     90,55
18:54:56        all      6,57      0,00      0,51      2,02      0,00     90,91
18:54:57        all      7,00      1,50      1,00      0,00      0,00     90,50
18:54:58        all      6,60      0,00      0,51      0,00      0,00     92,89
18:54:59        all      7,04      1,01      1,01      0,00      0,00     90,95
18:55:00        all      7,07      0,51      1,52      2,02      0,00     88,89
18:55:01        all      6,09      0,00      0,51      2,54      0,00     90,86
18:55:02        all      7,46      1,00      1,49      0,00      0,00     90,05
18:55:03        all     23,50      9,00      0,50      0,00      0,00     67,00
18:55:04        all     12,18      2,54      0,51      0,00      0,00     84,77
18:55:05        all      6,09      1,02      0,00      0,51      0,00     92,39
18:55:06        all      7,00      0,50      1,00      2,00      0,00     89,50
18:55:07        all      6,06      1,01      0,51      0,00      0,00     92,42
18:55:08        all      6,12      0,51      1,02      0,00      0,00     92,35
18:55:09        all      7,61      0,51      1,02      0,00      0,00     90,86
18:55:10        all      7,35      0,98      1,96      0,00      0,00     89,71
18:55:11        all      5,10      0,51      0,51      2,55      0,00     91,33
18:55:12        all      7,92      0,99      0,50      0,00      0,00     90,59
18:55:13        all      5,56      1,01      2,02      0,00      0,00     91,41
18:55:14        all      7,04      1,51      0,00      0,00      0,00     91,46
18:55:15        all      6,06      0,51      1,52      0,51      0,00     91,41
18:55:16        all     31,66      8,04      0,50      0,00      0,00     59,80
18:55:17        all      6,09      0,51      0,51      0,00      0,00     92,89
18:55:18        all      6,00      1,50      1,00      0,00      0,00     91,50
18:55:19        all      7,07      0,51      1,52      0,00      0,00     90,91
18:55:20        all      6,57      1,52      0,00      0,00      0,00     91,92
